#SNPs	DeadYear	Ind2	Individual	Sex	SexA1	SexA2	16S1_Gg2911	16S1_Gg2912	mtDNAfox1	mtDNAfox2	Y2_Gg_6441	Y2_Gg_6442	Y2_Gg_7201	Y2_Gg_7202	Y3_Gg_971	Y3_Gg_972	Gg_13051	Gg_13052	Gg_16001	Gg_16002	Gg_44931	Gg_44932	Gg_59491	Gg_59492	Gg_65491	Gg_65492	Gg_78801	Gg_78802	Gg_86461	Gg_86462	Gg_91921	Gg_91922	Gg_91981	Gg_91982	Gg_93461	Gg_93462	Gg_113491	Gg_113492	Gg_121931	Gg_121932	Gg_141031	Gg_141032	Gg_147531	Gg_147532	Gg_156331	Gg_156332	Gg_156551	Gg_156552	Gg_167811	Gg_167812	Gg_173971	Gg_173972	Gg_177401	Gg_177402	Gg_183661	Gg_183662	Gg_207081	Gg_207082	Gg_207331	Gg_207332	Gg_208231	Gg_208232	Gg_222851	Gg_222852	Gg_230271	Gg_230272	Gg_231711	Gg_231712	Gg_239791	Gg_239792	Gg_253371	Gg_253372	Gg_263351	Gg_263352	Gg_272071	Gg_272072	Gg_284191	Gg_284192	Gg_284621	Gg_284622	Gg_290721	Gg_290722	Gg_290961	Gg_290962	Gg_291921	Gg_291922	Gg_293591	Gg_293592	Gg_293831	Gg_293832	Gg_305931	Gg_305932	Gg_307001	Gg_307002	Gg_323151	Gg_323152	Gg_327441	Gg_327442	Gg_329101	Gg_329102	Gg_331551	Gg_331552	Gg_333121	Gg_333122	Gg_338761	Gg_338762	Gg_339921	Gg_339922	Gg_342581	Gg_342582	Gg_346211	Gg_346212	Gg_353991	Gg_353992	Gg_357281	Gg_357282	Gg_364091	Gg_364092	Gg_369931	Gg_369932	Gg_376381	Gg_376382	Gg_379231	Gg_379232	Gg_390871	Gg_390872	Gg_404201	Gg_404202	Gg_404791	Gg_404792	Gg_405911	Gg_405912	Gg_409941	Gg_409942	Gg_416341	Gg_416342	Gg_423901	Gg_423902	Gg_425521	Gg_425522	Gg_427441	Gg_427442	Gg_430561	Gg_430562	Gg_431821	Gg_431822	Gg_449671	Gg_449672	Gg_451551	Gg_451552	Gg_462321	Gg_462322	Gg_475991	Gg_475992	Gg_479181	Gg_479182	Gg_486911	Gg_486912	Gg_489771	Gg_489772	Gg_491491	Gg_491492	Gg_494171	Gg_494172	Gg_496041	Gg_496042	Gg_504721	Gg_504722	Gg_507541	Gg_507542	Gg_548311	Gg_548312	Gg_556111	Gg_556112	Gg_570821	Gg_570822	Gg_573931	Gg_573932	Gg_602041	Gg_602042	Gg_623571	Gg_623572	Gg_652081	Gg_652082	Gg_671071	Gg_671072	Gg_676871	Gg_676872	Gg_687231	Gg_687232	Gg_726541	Gg_726542	Gg_733331	Gg_733332	Gg_743891	Gg_743892	Gg_775401	Gg_775402
91		903	Ind903	female	X	X	X	X	-99	-99	-99	-99	-99	-99	-99	-99	X	Y	X	Y	Y	Y	X	Y	Y	Y	X	Y	X	X	X	Y	X	Y	X	Y	X	Y	X	X	X	Y	X	Y	Y	Y	X	Y	X	Y	X	Y	X	Y	Y	Y	X	Y	X	X	Y	Y	X	Y	X	Y	X	Y	Y	Y	X	Y	X	X	Y	Y	X	Y	X	X	Y	Y	X	X	Y	Y	X	Y	X	Y	X	Y	Y	Y	X	Y	Y	Y	Y	Y	X	Y	X	X	X	Y	X	Y	X	Y	X	Y	Y	Y	Y	Y	Y	Y	X	X	X	Y	X	X	X	Y	X	X	X	Y	X	X	X	X	X	X	Y	Y	X	Y	X	Y	X	X	X	Y	X	X	X	Y	X	Y	Y	Y	X	X	X	Y	X	Y	X	Y	X	Y	X	X	Y	Y	X	X	Y	Y	X	Y	X	Y	X	X	Y	Y	X	Y	Y	Y	X	Y	X	Y	X	X	Y	Y	X	X	X	X	Y	Y
91		911	Ind911	male	X	Y	X	X	-99	-99	Y	Y	Y	Y	Y	Y	X	Y	Y	Y	Y	Y	X	Y	X	Y	X	Y	X	X	X	Y	X	X	X	Y	X	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	X	Y	X	Y	X	Y	Y	Y	X	Y	X	X	Y	Y	Y	Y	X	Y	X	X	X	X	X	Y	X	Y	X	Y	Y	Y	X	X	Y	Y	Y	Y	X	Y	X	X	X	Y	X	X	X	Y	X	X	X	Y	Y	Y	Y	Y	X	Y	X	X	Y	Y	X	Y	Y	Y	X	X	X	X	X	Y	Y	Y	X	Y	X	X	Y	Y	X	Y	Y	Y	X	Y	Y	Y	Y	Y	X	X	Y	Y	X	X	X	Y	X	Y	X	X	X	X	X	X	Y	Y	X	X	X	X	X	Y	X	X	X	X	Y	Y	Y	Y	X	Y	X	Y	Y	Y	X	X	X	X	X	Y	Y	Y	X	X	X	Y	X	Y	Y	Y	X	Y	X	X	Y	Y	X	X
91		915	Ind915	female	X	X	X	X	-99	-99	-99	-99	-99	-99	-99	-99	Y	Y	X	Y	Y	Y	Y	Y	X	Y	X	Y	Y	Y	X	Y	X	Y	X	Y	Y	Y	X	X	X	X	X	X	X	Y	X	Y	X	X	X	Y	Y	Y	X	Y	Y	Y	X	X	X	Y	X	X	X	Y	X	Y	Y	Y	X	Y	X	Y	X	X	X	Y	X	X	Y	Y	X	Y	Y	Y	X	X	X	Y	X	X	Y	Y	X	Y	Y	Y	X	Y	X	Y	X	X	X	X	Y	Y	X	Y	X	Y	Y	Y	X	X	Y	Y	Y	Y	X	X	X	Y	Y	Y	X	X	X	Y	X	X	Y	Y	X	Y	X	X	X	Y	X	Y	X	Y	X	Y	X	Y	Y	Y	X	Y	X	Y	X	X	X	Y	X	X	X	Y	X	X	X	X	X	Y	Y	Y	X	Y	X	Y	X	Y	X	X	X	Y	X	X	Y	Y	X	X	X	Y	X	X	X	X	Y	Y	X	Y	X	X
91		916	Ind916	male	X	Y	X	X	-99	-99	Y	Y	Y	Y	Y	Y	X	Y	Y	Y	Y	Y	X	Y	X	Y	X	Y	Y	Y	Y	Y	X	Y	X	Y	X	Y	Y	Y	X	Y	X	Y	X	Y	Y	Y	X	Y	Y	Y	X	X	Y	Y	X	Y	Y	Y	X	Y	X	X	X	Y	X	Y	Y	Y	X	Y	Y	Y	X	Y	Y	Y	Y	Y	X	Y	X	X	X	Y	X	Y	X	Y	Y	Y	X	Y	X	X	X	X	X	X	X	Y	Y	Y	X	X	Y	Y	X	X	X	Y	X	Y	X	Y	X	Y	X	X	X	X	X	Y	Y	Y	X	Y	Y	Y	X	Y	X	X	X	Y	X	Y	Y	Y	X	X	X	Y	X	X	Y	Y	Y	Y	X	X	X	Y	X	X	X	Y	X	Y	Y	Y	X	X	X	X	X	Y	X	Y	X	X	X	X	X	Y	Y	Y	X	X	X	X	X	Y	X	Y	Y	Y	X	Y	X	Y	X	X	X	Y	X	Y
91		917	Ind917	female	X	X	X	X	-99	-99	-99	-99	-99	-99	-99	-99	X	X	X	Y	X	Y	X	X	X	Y	Y	Y	X	Y	X	X	X	X	X	Y	Y	Y	X	Y	X	X	X	Y	X	Y	X	Y	Y	Y	X	Y	X	Y	X	Y	Y	Y	X	Y	Y	Y	X	X	X	Y	Y	Y	X	Y	Y	Y	Y	Y	Y	Y	Y	Y	X	Y	X	X	X	Y	X	Y	X	Y	X	Y	Y	Y	X	Y	X	Y	X	Y	X	Y	X	Y	Y	Y	X	X	X	X	Y	Y	X	Y	X	Y	X	X	Y	Y	Y	Y	X	X	Y	Y	X	Y	X	X	X	Y	X	Y	X	X	X	X	X	Y	Y	Y	X	X	X	X	Y	Y	X	Y	X	Y	X	X	X	Y	X	Y	X	Y	X	X	X	X	X	X	Y	Y	Y	Y	X	Y	X	Y	X	X	X	X	Y	Y	Y	Y	X	Y	X	Y	X	Y	X	Y	X	X	X	Y	X	X	X	X	Y	Y
91		923	Ind923	female	X	X	X	X	-99	-99	-99	-99	-99	-99	-99	-99	X	X	Y	Y	X	Y	Y	Y	Y	Y	X	Y	X	X	X	Y	X	X	Y	Y	X	Y	X	X	X	X	Y	Y	Y	Y	X	Y	X	X	Y	Y	X	X	X	X	X	Y	Y	Y	X	Y	Y	Y	X	X	X	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	X	Y	X	X	Y	Y	Y	Y	X	X	X	Y	X	Y	X	Y	X	Y	X	X	X	X	Y	Y	X	Y	X	X	Y	Y	X	X	Y	Y	X	X	X	Y	X	Y	X	Y	X	Y	X	X	Y	Y	X	X	X	Y	X	X	Y	Y	X	X	X	X	X	Y	X	X	X	Y	X	Y	X	Y	X	X	X	X	X	Y	X	X	X	X	Y	Y	X	X	X	Y	X	Y	X	Y	X	Y	X	Y	X	X	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	Y	Y	X	Y	Y	Y	X	X	X	Y	X	Y
91		928	Ind928	male	X	Y	X	X	-99	-99	Y	Y	Y	Y	Y	Y	Y	Y	X	Y	Y	Y	X	X	X	Y	X	Y	X	X	X	X	Y	Y	X	Y	X	Y	X	Y	X	X	Y	Y	Y	Y	X	Y	Y	Y	X	Y	X	X	X	Y	Y	Y	X	X	Y	Y	X	Y	Y	Y	X	X	X	Y	Y	Y	X	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	X	Y	X	X	X	Y	Y	Y	X	Y	X	X	X	X	X	Y	X	Y	X	Y	X	X	X	X	X	Y	X	Y	X	X	X	Y	X	X	X	Y	X	Y	X	Y	Y	Y	X	X	X	Y	Y	Y	X	X	Y	Y	X	Y	Y	Y	X	Y	X	X	Y	Y	X	X	X	Y	X	X	X	Y	X	Y	X	Y	X	Y	X	X	X	Y	X	Y	X	Y	Y	Y	X	X	Y	Y	X	Y	X	X	X	Y	X	Y	X	X	X	Y	X	Y	X	Y	X	Y	X	X	X	X	Y	Y
91		930	Ind930	female	X	X	X	X	-99	-99	-99	-99	-99	-99	-99	-99	X	Y	Y	Y	Y	Y	X	X	Y	Y	Y	Y	Y	Y	Y	Y	X	Y	X	X	X	Y	Y	Y	X	Y	X	X	Y	Y	X	Y	Y	Y	X	X	X	X	X	Y	Y	Y	X	Y	X	X	X	X	X	Y	X	Y	X	X	X	Y	X	Y	Y	Y	Y	Y	Y	Y	Y	Y	X	X	X	X	X	Y	X	X	X	Y	X	Y	X	Y	X	Y	Y	Y	X	X	X	Y	X	Y	X	Y	Y	Y	X	Y	X	Y	X	X	X	Y	X	X	X	X	X	Y	Y	Y	X	Y	Y	Y	X	X	X	X	Y	Y	X	X	Y	Y	X	X	X	Y	X	Y	Y	Y	Y	Y	X	X	X	Y	X	Y	X	Y	X	X	Y	Y	X	Y	X	X	X	X	X	Y	X	X	Y	Y	X	Y	X	Y	Y	Y	X	Y	X	Y	X	X	X	X	Y	Y	X	X	X	X	X	X	Y	Y
91		931	Ind931	male	X	Y	X	X	-99	-99	Y	Y	Y	Y	Y	Y	X	Y	X	Y	X	Y	X	X	Y	Y	Y	Y	X	Y	X	Y	X	Y	X	Y	Y	Y	X	Y	X	Y	X	X	Y	Y	X	Y	X	Y	Y	Y	X	Y	X	Y	Y	Y	Y	Y	X	X	X	X	X	Y	Y	Y	Y	Y	Y	Y	X	Y	Y	Y	X	Y	Y	Y	X	Y	X	Y	X	X	X	X	X	Y	X	X	Y	Y	X	Y	X	X	X	Y	X	Y	X	Y	Y	Y	X	Y	X	Y	X	Y	X	Y	X	X	Y	Y	X	Y	X	Y	Y	Y	X	Y	X	X	Y	Y	X	Y	X	X	Y	Y	X	Y	X	Y	X	X	X	X	Y	Y	X	Y	X	Y	X	X	X	Y	X	Y	Y	Y	Y	Y	X	Y	X	X	X	Y	X	X	X	X	X	X	X	Y	X	Y	X	Y	Y	Y	X	Y	X	Y	X	X	Y	Y	X	Y	X	Y	X	X	X	X	X	Y
89		934	Ind934	female	X	X	X	X	-99	-99	-99	-99	-99	-99	-99	-99	X	Y	Y	Y	Y	Y	Y	Y	Y	Y	X	Y	X	Y	X	X	X	Y	X	Y	X	Y	Y	Y	X	Y	X	X	Y	Y	X	X	Y	Y	X	Y	X	X	Y	Y	Y	Y	Y	Y	X	X	X	Y	Y	Y	X	Y	X	X	Y	Y	X	X	Y	Y	Y	Y	Y	Y	Y	Y	X	Y	X	X	X	Y	X	Y	X	X	X	X	X	X	X	Y	X	X	X	X	X	X	X	X	X	Y	X	X	X	Y	X	Y	X	Y	X	Y	X	Y	X	X	X	X	Y	Y	X	Y	Y	Y	X	Y	X	X	Y	Y	X	Y	Y	Y	X	X	X	Y	X	Y	Y	Y	Y	Y	-99	-99	X	Y	X	X	-99	-99	X	Y	Y	Y	X	Y	Y	Y	X	Y	X	X	X	Y	Y	Y	X	Y	X	X	X	Y	X	X	Y	Y	X	Y	X	X	Y	Y	X	X	X	X	X	X	Y	Y
